n,site_code,date,factor,rep,temp,rh,g-temp
1,Cuyama_1,04/30/2023,mimic,1,30.29,29.03,36.8
2,Cuyama_1,04/30/2023,mimic,2,26.39,32.56,29.1
3,Cuyama_1,04/30/2023,mimic,3,26.31,32.01,42.8
4,Cuyama_1,04/30/2023,mimic,4,27.07,32.19,43.8
5,Cuyama_1,04/30/2023,mimic,5,27.09,31.66,32.8
6,Cuyama_1,04/30/2023,open,1,27.79,32.07,38.1
7,Cuyama_1,04/30/2023,open,2,26.64,32.97,42.4
8,Cuyama_1,04/30/2023,open,3,26.65,32.75,43.5
9,Cuyama_1,04/30/2023,open,4,26.69,32.27,30.4
10,Cuyama_1,04/30/2023,open,5,26.02,31.52,29.1
11,Cuyama_1,04/30/2023,open,6,25.27,33.66,36.5
12,Cuyama_1,04/30/2023,open,7,26.92,33.76,42.1
13,Cuyama_1,04/30/2023,open,8,27.1,31.3,31.4
14,Cuyama_1,04/30/2023,shrub,1,24.18,35.66,24
15,Cuyama_1,04/30/2023,shrub,2,28.56,32.19,22.8
16,Cuyama_1,04/30/2023,shrub,3,26.52,31.68,43.7
17,Cuyama_3,04/30/2023,mimic,1,22.13,28.76,29
18,Cuyama_3,04/30/2023,mimic,2,23.07,27.3,32.6
19,Cuyama_3,04/30/2023,mimic,3,23.29,27.11,33.6
20,Cuyama_3,04/30/2023,mimic,4,24.3,27.48,37
21,Cuyama_3,04/30/2023,mimic,5,24.14,27.01,36.4
22,Cuyama_3,04/30/2023,open,1,20.99,31.35,33.3
23,Cuyama_3,04/30/2023,open,2,22.71,27.31,39.6
24,Cuyama_3,04/30/2023,open,3,23.87,28.9,33.3
25,Cuyama_3,04/30/2023,open,4,23.73,26.11,39.7
26,Cuyama_3,04/30/2023,open,5,24.28,26.52,35.6
27,Cuyama_3,04/30/2023,open,6,24.13,25.78,40.8
28,Cuyama_3,04/30/2023,open,7,26.66,24.44,34.9
29,Cuyama_3,04/30/2023,open,8,26.6,24.36,37.9
30,Cuyama_3,04/30/2023,shrub,1,24.13,26.2,39.2
31,Cuyama_3,04/30/2023,shrub,2,24.72,24.76,24.4
32,Cuyama_3,04/30/2023,shrub,3,26.44,23.91,25.8
33,Soda_lake_open,04/30/2023,mimic,1,28.24,24.6,44.8
34,Soda_lake_open,04/30/2023,mimic,2,28.39,23.89,46.6
35,Soda_lake_open,04/30/2023,mimic,3,24.99,23.99,44
36,Soda_lake_open,04/30/2023,mimic,4,28.7,25.3,51.5
37,Soda_lake_open,04/30/2023,mimic,5,29.18,24.41,50.2
38,Soda_lake_open,04/30/2023,open,1,28.89,24.22,40.7
39,Soda_lake_open,04/30/2023,open,2,28.18,24.09,46.1
40,Soda_lake_open,04/30/2023,open,3,28.73,24.12,53
41,Soda_lake_open,04/30/2023,open,4,29.12,24.26,49.2
42,Soda_lake_open,04/30/2023,open,5,29.08,25.15,38.5
43,Soda_lake_shrubs,04/30/2023,mimic,1,34.66,25.25,30.1
44,Soda_lake_shrubs,04/30/2023,mimic,2,25.31,24.16,48.4
45,Soda_lake_shrubs,04/30/2023,mimic,3,32.36,24.25,54.7
46,Soda_lake_shrubs,04/30/2023,mimic,4,32.33,22.69,41.8
47,Soda_lake_shrubs,04/30/2023,mimic,5,31.83,22.87,37.1
48,Soda_lake_shrubs,04/30/2023,open,1,34.11,26.39,43.42
49,Soda_lake_shrubs,04/30/2023,open,2,35.69,24.88,53.9
50,Soda_lake_shrubs,04/30/2023,open,3,25.31,26.39,46.6
51,Soda_lake_shrubs,04/30/2023,open,4,32.16,22.81,53.2
52,Soda_lake_shrubs,04/30/2023,open,5,30.4,27.96,43.42
53,Soda_lake_shrubs,04/30/2023,open,6,31.27,25.08,55
54,Soda_lake_shrubs,04/30/2023,open,7,30.94,23.09,55.2
55,Soda_lake_shrubs,04/30/2023,open,8,30.65,24.23,54.1
56,Soda_lake_shrubs,04/30/2023,shrub,1,32.14,23.13,25
57,Soda_lake_shrubs,04/30/2023,shrub,2,31.32,22.76,27.6
58,Soda_lake_shrubs,04/30/2023,shrub,3,31.67,21.49,28.3
59,Cuyama_1,05/04/2023,mimic,1,15.48,42.25,17
60,Cuyama_1,05/04/2023,mimic,2,16.19,40.43,14.2
61,Cuyama_1,05/04/2023,mimic,3,16.57,41.81,17.2
62,Cuyama_1,05/04/2023,mimic,4,12.67,42.7,14.5
63,Cuyama_1,05/04/2023,mimic,5,15.7,42.41,9
64,Cuyama_1,05/04/2023,open,1,15.93,43.4,19.3
65,Cuyama_1,05/04/2023,open,2,15.64,42.81,16
66,Cuyama_1,05/04/2023,open,3,15.82,42.37,17.3
67,Cuyama_1,05/04/2023,open,4,15.18,43.81,14.4
68,Cuyama_1,05/04/2023,open,5,14.73,43.81,11.8
69,Cuyama_1,05/04/2023,open,6,14.78,42.12,11.9
70,Cuyama_1,05/04/2023,open,7,14.78,46.63,13.1
71,Cuyama_1,05/04/2023,open,8,14.78,47.05,15.8
72,Cuyama_1,05/04/2023,shrub,1,14.65,43.65,8
73,Cuyama_1,05/04/2023,shrub,2,14.06,50.87,10.2
74,Cuyama_1,05/04/2023,shrub,3,14,44.25,7.8
75,Cuyama_3,05/04/2023,mimic,1,13.78,50.01,23
76,Cuyama_3,05/04/2023,mimic,2,14.32,43.4,26.4
77,Cuyama_3,05/04/2023,mimic,3,16.36,42.15,30.8
78,Cuyama_3,05/04/2023,mimic,4,19.5,35.59,29.8
79,Cuyama_3,05/04/2023,mimic,5,18.96,34.19,25.8
80,Cuyama_3,05/04/2023,open,1,14.15,47.28,30.4
81,Cuyama_3,05/04/2023,open,2,14.76,42.91,25.8
82,Cuyama_3,05/04/2023,open,3,19.25,40.12,25.4
83,Cuyama_3,05/04/2023,open,4,19.37,35.26,27.8
84,Cuyama_3,05/04/2023,open,5,19.33,34.11,30
85,Cuyama_3,05/04/2023,open,6,20.31,35.16,28.3
86,Cuyama_3,05/04/2023,open,7,20.18,34.04,32.6
