rep,site_code,factor,site number,lat,long,pendant_ID,functioned
1,Cuyama_1,mimic,1,34.84834,-119.48487,18002,yes
2,Cuyama_1,open,1,34.84836,-119.48483,17411,yes
3,Cuyama_1,mimic,2,34.84832,-119.48498,18255,yes
4,Cuyama_1,open,2,34.84831,-119.48496,17421,yes
5,Cuyama_1,mimic,3,34.84843,-119.48494,18227,no
6,Cuyama_1,open,3,34.84844,-119.48496,,
7,Cuyama_1,mimic,4,34.84846,-119.48508,,
8,Cuyama_1,open,4,34.84849,-119.48506,,
9,Cuyama_1,mimic,5,34.84846,-119.48523,,
10,Cuyama_1,open,5,34.84846,-119.48524,,
11,Cuyama_1,shrub,1,34.84859,-119.48523,17440,yes
12,Cuyama_1,open,6,34.84858,-119.48528,,
13,Cuyama_1,shrub,2,34.84835,-119.48512,17393,yes
14,Cuyama_1,open,7,34.84838,-119.48517,,
15,Cuyama_1,shrub,3,34.8483,-119.48525,18245,yes
16,Cuyama_1,open,8,34.84834,-119.48523,,
17,Cuyama_3,mimic,1,34.93843,-119.48165,18229,yes
18,Cuyama_3,open,1,34.93845,-119.48161,16078,yes
19,Cuyama_3,mimic,2,34.93851,-119.48161,16079,no
20,Cuyama_3,open,2,34.9385,-119.4816,18251,yes
21,Cuyama_3,mimic,3,34.93857,-119.48163,17434,yes
22,Cuyama_3,open,3,34.93855,-119.48161,18235,yes
23,Cuyama_3,mimic,4,34.93858,-119.4817,,
24,Cuyama_3,open,4,34.93858,-119.48172,,
25,Cuyama_3,mimic,5,34.93859,-119.48179,,
26,Cuyama_3,open,5,34.9385,-119.4818,,
27,Cuyama_3,shrub,1,34.93854,-119.48173,16008,yes
28,Cuyama_3,open,6,34.93856,-119.48175,,
29,Cuyama_3,shrub,2,34.9385,-119.48175,17420,yes
30,Cuyama_3,open,7,34.93851,-119.48178,,
31,Cuyama_3,shrub,3,34.93849,-119.48181,18022,yes
32,Cuyama_3,open,8,34.93848,-119.48185,,
33,Soda_Lake_Shrub,mimic,1,35.07093,-119.6497,18204,no
34,Soda_Lake_Shrub,open,1,35.07093,-119.64968,18210,no
35,Soda_Lake_Shrub,mimic,2,35.07099,-119.6497,15913,no
36,Soda_Lake_Shrub,open,2,35.07096,-119.64967,18240,no
37,Soda_Lake_Shrub,mimic,3,35.07099,-119.6498,17398,no
38,Soda_Lake_Shrub,open,3,35.07101,-119.64981,18024,yes
39,Soda_Lake_Shrub,mimic,4,35.07106,-119.6498,,
40,Soda_Lake_Shrub,open,4,35.07108,-119.6498,,
41,Soda_Lake_Shrub,mimic,5,35.07107,-119.64972,,
42,Soda_Lake_Shrub,open,5,35.0711,-119.64973,,
43,Soda_Lake_Shrub,shrub,1,35.07092,-119.64978,17991,yes
44,Soda_Lake_Shrub,open,6,35.07096,-119.64979,,
45,Soda_Lake_Shrub,shrub,2,35.07091,-119.64986,16035,yes
46,Soda_Lake_Shrub,open,7,35.07095,-119.64988,,
47,Soda_Lake_Shrub,shrub,3,35.07091,-119.64998,17422,yes
48,Soda_Lake_Shrub,open,8,35.07095,-119.64995,,
49,Soda_Lake_Open,mimic,1,35.05618,-119.60009,16051,yes
50,Soda_Lake_Open,open,1,35.05621,-119.60006,18004,no
51,Soda_Lake_Open,mimic,2,35.05617,-119.60018,17414,yes
52,Soda_Lake_Open,open,2,35.05619,-119.60015,15402,no
53,Soda_Lake_Open,mimic,3,35.05627,-119.60017,17997,yes
54,Soda_Lake_Open,open,3,35.05626,-119.60014,17417,yes
55,Soda_Lake_Open,mimic,4,35.05628,-119.60025,,
56,Soda_Lake_Open,open,4,35.05631,-119.60027,,
57,Soda_Lake_Open,mimic,5,35.05637,-119.6003,,
58,Soda_Lake_Open,open,5,35.05635,-119.6003,,
