rep,site_code,factor,site number,shrub_density
1,Cuyama_1,mimic,1,11
2,Cuyama_1,mimic,2,14
3,Cuyama_1,open,2,13
4,Cuyama_1,mimic,3,12
5,Cuyama_1,open,3,12
6,Cuyama_1,mimic,4,8
7,Cuyama_1,open,4,10
8,Cuyama_1,mimic,5,9
9,Cuyama_1,open,5,10
10,Cuyama_1,shrub,1,5
11,Cuyama_1,shrub,2,10
12,Cuyama_1,open,7,9
13,Cuyama_1,shrub,3,12
14,Cuyama_1,open,8,12
15,Cuyama_3,mimic,1,10
16,Cuyama_3,open,1,16
17,Cuyama_3,mimic,2,22
18,Cuyama_3,open,2,22
19,Cuyama_3,mimic,3,30
20,Cuyama_3,open,3,28
21,Cuyama_3,mimic,4,26
22,Cuyama_3,open,4,28
23,Cuyama_3,mimic,5,28
24,Cuyama_3,shrub,1,24
25,Cuyama_3,open,6,28
26,Cuyama_3,shrub,3,18
27,Cuyama_3,open,8,12
28,Soda_Lake_Shrub,mimic,1,8
29,Soda_Lake_Shrub,open,1,8
30,Soda_Lake_Shrub,mimic,2,5
31,Soda_Lake_Shrub,open,2,6
32,Soda_Lake_Shrub,mimic,3,7
33,Soda_Lake_Shrub,open,3,6
34,Soda_Lake_Shrub,mimic,4,3
35,Soda_Lake_Shrub,open,4,1
36,Soda_Lake_Shrub,mimic,5,1
37,Soda_Lake_Shrub,open,5,0
38,Soda_Lake_Shrub,shrub,1,9
39,Soda_Lake_Shrub,open,6,8
40,Soda_Lake_Shrub,shrub,2,10
41,Soda_Lake_Shrub,open,7,8
42,Soda_Lake_Shrub,shrub,3,11
43,Soda_Lake_Shrub,open,8,10
44,Soda_Lake_Open,mimic,1,0
45,Soda_Lake_Open,open,1,0
46,Soda_Lake_Open,mimic,2,0
47,Soda_Lake_Open,open,2,0
48,Soda_Lake_Open,mimic,3,0
49,Soda_Lake_Open,open,3,0
50,Soda_Lake_Open,mimic,4,0
51,Soda_Lake_Open,open,4,0
52,Soda_Lake_Open,mimic,5,0
53,Soda_Lake_Open,open,5,0
