"","rep","site_code","factor","microsite_number","month","day","year","filename","animal.hit","identified_by","class","order","family","genus","species","common_name","scientific_name","timestamp","number_of_objects"
"1",2696,"Cuyama_1","Open",4,"May","12th",2023,"IMAG0216.jpg",1,"Mario Zuliani","Mammalia","Rodentia","Heteromyidae","Dipodomys","heermanni","Heermann's Kangaroo Rat","Dipodomys heermanni","2022-01-15 8:53",1
"2",4768,"Cuyama_3","Shrub",1,"April","30th",2023,"IMAG0712.jpg",1,"Mario Zuliani","Mammalia","Rodentia","Heteromyidae","Dipodomys","heermanni","Heermann's Kangaroo Rat","Dipodomys heermanni","2022-01-04 4:36",1
"3",5458,"Cuyama_3","Open",6,"may","12th",2023,"IMAG0686.jpg",1,"Mario Zuliani","Mammalia","Lagomorpha","Leporidae","Lepus","californicus","Black-tailed Jackrabbit","Lepus californicus","2022-01-20 13:02",1
"4",7464,"Soda_Lake_Open","Mimic",3,"May","12th",2023,"IMAG0049.jpg",1,"Mario Zuliani","Mammalia","Rodentia","Heteromyidae","Dipodomys","heermanni","Heermann's Kangaroo Rat","Dipodomys heermanni","2022-01-15 5:52",1
"5",7467,"Soda_Lake_Open","Mimic",3,"May","12th",2023,"IMAG0263.jpg",1,"Mario Zuliani","Mammalia","Rodentia","Heteromyidae","Dipodomys","heermanni","Heermann's Kangaroo Rat","Dipodomys heermanni","2022-01-16 9:00",1
"6",7477,"Soda_Lake_Open","Mimic",3,"May","12th",2023,"IMAG0533.jpg",1,"Mario Zuliani","Mammalia","Rodentia","Heteromyidae","Dipodomys","heermanni","Heermann's Kangaroo Rat","Dipodomys heermanni","2022-01-17 8:54",1
"7",7496,"Soda_Lake_Open","Mimic",3,"May","12th",2023,"IMAG1315.jpg",1,"Mario Zuliani","Mammalia","Rodentia","Sciuridae","Ammospermophilus","nelsoni","Nelson's Antelope Squirrel","Ammospermophilus nelsoni","2022-01-19 16:01",1
"8",7502,"Soda_Lake_Open","Mimic",3,"May","12th",2023,"IMAG1553.jpg",1,"Mario Zuliani","Mammalia","Rodentia","Heteromyidae","Dipodomys","heermanni","Heermann's Kangaroo Rat","Dipodomys heermanni","2022-01-20 6:40",1
"9",7503,"Soda_Lake_Open","Mimic",3,"May","12th",2023,"IMAG1559.jpg",1,"Mario Zuliani","Mammalia","Rodentia","Heteromyidae","Dipodomys","heermanni","Heermann's Kangaroo Rat","Dipodomys heermanni","2022-01-20 8:48",1
"10",7515,"Soda_Lake_Open","Mimic",3,"May","12th",2023,"IMAG1942.jpg",1,"Mario Zuliani","Mammalia","Rodentia","Heteromyidae","Dipodomys","heermanni","Heermann's Kangaroo Rat","Dipodomys heermanni","2022-01-21 7:02",1
"11",7518,"Soda_Lake_Open","Mimic",3,"May","12th",2023,"IMAG1976.jpg",1,"Mario Zuliani","Mammalia","Rodentia","Heteromyidae","Dipodomys","heermanni","Heermann's Kangaroo Rat","Dipodomys heermanni","2022-01-21 12:31",1
"12",7525,"Soda_Lake_Open","Mimic",3,"May","12th",2023,"IMAG0374.jpg",1,"Mario Zuliani","Mammalia","Carnivora","Canidae","Vulpes","macrotis","Kit Fox","Vulpes macrotis","2022-01-22 4:48",1
"13",7528,"Soda_Lake_Open","Mimic",3,"May","12th",2023,"IMAG0393.jpg",1,"Mario Zuliani","Mammalia","Rodentia","Sciuridae","Ammospermophilus","nelsoni","Nelson's Antelope Squirrel","Ammospermophilus nelsoni","2022-01-22 16:21",1
"14",7529,"Soda_Lake_Open","Mimic",3,"May","12th",2023,"IMAG1079.jpg",1,"Mario Zuliani","Mammalia","Rodentia","Sciuridae","Ammospermophilus","nelsoni","Nelson's Antelope Squirrel","Ammospermophilus nelsoni","2022-01-18 20:48",2
"15",7529,"Soda_Lake_Open","Mimic",3,"May","12th",2023,"IMAG1079.jpg",1,"Mario Zuliani","Mammalia","Rodentia","Sciuridae","Ammospermophilus","nelsoni","Nelson's Antelope Squirrel","Ammospermophilus nelsoni","2022-01-18 20:48",2
