rep,site_code,factor,site number,lat,long,pendant_ID,functioned,geometry.x,geometry.y,n_shrubs
1,Cuyama_1,mimic,1,34.84834,-119.48487,18002,yes,c(821422.636624614, 3861862.85939996),11
2,Cuyama_1,open,1,34.84836,-119.48483,17411,yes,c(821426.217917607, 3861865.20716792),6
3,Cuyama_1,mimic,2,34.84832,-119.48498,18255,yes,c(821412.651739826, 3861860.28686885),14
4,Cuyama_1,open,2,34.84831,-119.48496,17421,yes,c(821414.520285754, 3861859.24142319),13
5,Cuyama_1,mimic,3,34.84843,-119.48494,18227,no,c(821415.882494286, 3861872.62160596),12
6,Cuyama_1,open,3,34.84844,-119.48496,NA,NA,c(821414.013950674, 3861873.66705117),12
7,Cuyama_1,mimic,4,34.84846,-119.48508,NA,NA,c(821402.958488909, 3861875.50107525),8
8,Cuyama_1,open,4,34.84849,-119.48506,NA,NA,c(821404.671239347, 3861878.89428253),10
9,Cuyama_1,mimic,5,34.84846,-119.48523,NA,NA,c(821389.236534713, 3861875.01946466),9
10,Cuyama_1,open,5,34.84846,-119.48524,NA,NA,c(821388.321737792, 3861874.98735802),10
11,Cuyama_1,shrub,1,34.84859,-119.48523,17440,yes,c(821388.730236765, 3861889.44509141),5
12,Cuyama_1,open,6,34.84858,-119.48528,NA,NA,c(821384.19520493, 3861888.17489529),7
13,Cuyama_1,shrub,2,34.84835,-119.48512,17393,yes,c(821399.727719171, 3861863.16634383),10
14,Cuyama_1,open,7,34.84838,-119.48517,NA,NA,c(821395.036888782, 3861866.33479755),9
15,Cuyama_1,shrub,3,34.8483,-119.48525,18245,yes,c(821388.03007098, 3861857.20063433),12
16,Cuyama_1,open,8,34.84834,-119.48523,NA,NA,c(821389.703885194, 3861861.70350168),12
17,Cuyama_3,mimic,1,34.93843,-119.48165,18229,yes,c(821365.58223328, 3871870.22231603),10
18,Cuyama_3,open,1,34.93845,-119.48161,16078,yes,c(821369.159269391, 3871872.57037416),16
19,Cuyama_3,mimic,2,34.93851,-119.48161,16079,no,c(821368.924822496, 3871879.22842626),22
20,Cuyama_3,open,2,34.9385,-119.4816,18251,yes,c(821369.877692479, 3871878.15092802),22
21,Cuyama_3,mimic,3,34.93857,-119.48163,17434,yes,c(821366.862785863, 3871885.82212438),30
22,Cuyama_3,open,3,34.93855,-119.48161,18235,yes,c(821368.768524369, 3871883.66712768),28
23,Cuyama_3,mimic,4,34.93858,-119.4817,NA,NA,c(821360.427149552, 3871886.70656353),26
24,Cuyama_3,open,4,34.93858,-119.48172,NA,NA,c(821358.599560452, 3871886.64221116),28
25,Cuyama_3,mimic,5,34.93859,-119.48179,NA,NA,c(821352.163926129, 3871887.52665603),28
26,Cuyama_3,open,5,34.9385,-119.4818,NA,NA,c(821351.601783571, 3871877.50740311),18
27,Cuyama_3,shrub,1,34.93854,-119.48173,16008,yes,c(821357.842058801, 3871882.17133387),24
28,Cuyama_3,open,6,34.93856,-119.48175,NA,NA,c(821355.936322848, 3871884.32633268),28
29,Cuyama_3,shrub,2,34.9385,-119.48175,17420,yes,c(821356.170760673, 3871877.6682809),18
30,Cuyama_3,open,7,34.93851,-119.48178,NA,NA,c(821353.390301789, 3871878.68142923),22
31,Cuyama_3,shrub,3,34.93849,-119.48181,18022,yes,c(821350.72706043, 3871876.36555256),18
32,Cuyama_3,open,8,34.93848,-119.48185,NA,NA,c(821347.110950192, 3871875.12717712),12
33,Soda_Lake_Shrub,mimic,1,35.07093,-119.6497,18204,no,c(805515.974962775, 3886044.86408636),8
34,Soda_Lake_Shrub,open,1,35.07093,-119.64968,18210,no,c(805517.799486492, 3886044.92545831),8
35,Soda_Lake_Shrub,mimic,2,35.07099,-119.6497,15913,no,c(805515.751015173, 3886051.52182935),5
36,Soda_Lake_Shrub,open,2,35.07096,-119.64967,18240,no,c(805518.599773589, 3886048.28501594),6
37,Soda_Lake_Shrub,mimic,3,35.07099,-119.6498,17398,no,c(805506.628403489, 3886051.21497491),7
38,Soda_Lake_Shrub,open,3,35.07101,-119.64981,18024,yes,c(805505.641495524, 3886053.40353756),6
39,Soda_Lake_Shrub,mimic,4,35.07106,-119.6498,NA,NA,c(805506.367138688, 3886058.98234151),3
40,Soda_Lake_Shrub,open,4,35.07108,-119.6498,NA,NA,c(805506.292491518, 3886061.20158912),1
41,Soda_Lake_Shrub,mimic,5,35.07107,-119.64972,NA,NA,c(805513.627897275, 3886060.33744838),1
42,Soda_Lake_Shrub,open,5,35.0711,-119.64973,NA,NA,c(805512.603663848, 3886063.63563418),0
43,Soda_Lake_Shrub,shrub,1,35.07092,-119.64978,17991,yes,c(805508.71419171, 3886043.50897847),9
44,Soda_Lake_Shrub,open,6,35.07096,-119.64979,NA,NA,c(805507.652635469, 3886047.91678855),8
45,Soda_Lake_Shrub,shrub,2,35.07091,-119.64986,16035,yes,c(805501.453419053, 3886042.15387652),10
46,Soda_Lake_Shrub,open,7,35.07095,-119.64988,NA,NA,c(805499.479604763, 3886046.53100293),8
