row,site_code,microsite,microsite_number,rep,lat,long,pendant_ID,shrub_density,abundance,richness,evenness,mean_ambient_temp,mean_rh,mean_ground_temp
33,Carrizo_soda_open,mimic,1,33,35.05618,-119.60009,16051,0,60,5,1.380956541,19.8966666666667,43.7966666666667,34.9666666666667
34,Carrizo_soda_open,mimic,2,34,35.05617,-119.60018,17414,0,24,5,0.894750482,20.4766666666667,41.1533333333333,37.3666666666667
35,Carrizo_soda_open,mimic,3,35,35.05627,-119.60017,17997,0,308,7,1.045152876,20.0466666666667,39.7,34.1333333333333
36,Carrizo_soda_open,mimic,4,36,35.05628,-119.60025,NA,0,279,7,0.916350275,21.6866666666667,39,36.5333333333333
37,Carrizo_soda_open,mimic,5,37,35.05637,-119.6003,NA,0,120,4,0.644695161,22.4166666666667,38.43,37.3333333333333
38,Carrizo_soda_open,open,1,38,35.05621,-119.60006,18004,0,9,2,0.348832096,22.2233333333333,38.81,33.9333333333333
39,Carrizo_soda_open,open,2,39,35.05619,-119.60015,15402,0,10,2,0.325082973,22.0866666666667,37.2633333333333,34.3666666666667
40,Carrizo_soda_open,open,3,40,35.05626,-119.60014,17417,0,67,5,0.843219859,21.93,39.1733333333333,35.4
41,Carrizo_soda_open,open,4,41,35.05631,-119.60027,NA,0,95,6,0.578648339,22.13,38.6433333333333,37.7
42,Carrizo_soda_open,open,5,42,35.05635,-119.6003,NA,0,22,2,0.474139313,22.2566666666667,40.3,32.6666666666667
43,Carrizo_soda_shrub,mimic,1,43,35.07093,-119.6497,18204,8,35,8,1.631975232,25.7566666666667,34.02,32.7
44,Carrizo_soda_shrub,mimic,2,44,35.07099,-119.6497,15913,5,21,5,1.203575099,27.8566666666667,28.9633333333333,41.7666666666667
45,Carrizo_soda_shrub,mimic,3,45,35.07099,-119.6498,17398,7,40,5,0.791702273,26.0166666666667,32.9066666666667,42.9
46,Carrizo_soda_shrub,mimic,4,46,35.07106,-119.6498,NA,3,39,2,0.119246926,27.29,32.52,35.2333333333333
47,Carrizo_soda_shrub,mimic,5,47,35.07107,-119.64972,NA,1,22,3,0.4851045,24.63,35.31,35.6
48,Carrizo_soda_shrub,open,1,48,35.07093,-119.64968,18210,8,267,6,0.731271464,25.81,35.7166666666667,35.6066666666667
49,Carrizo_soda_shrub,open,2,49,35.07096,-119.64967,18240,6,10,4,1.193549604,27.3066666666667,34.4933333333333,40.5333333333333
50,Carrizo_soda_shrub,open,3,50,35.07101,-119.64981,18024,6,3,1,0,23.7466666666667,34.2033333333333,38.2666666666667
51,Carrizo_soda_shrub,open,4,51,35.07108,-119.6498,NA,1,2,1,0,25.1,34.0366666666667,42.8333333333333
52,Carrizo_soda_shrub,open,5,52,35.0711,-119.64973,NA,0,17,4,0.659872014,24.5733333333333,36.7033333333333,38.9733333333333
53,Carrizo_soda_shrub,open,6,53,35.07096,-119.64979,NA,8,18,1,0,24.7933333333333,34.2466666666667,40.7
54,Carrizo_soda_shrub,open,7,54,35.07095,-119.64988,NA,8,137,4,0.25055793,25.9466666666667,29.7,35.4
55,Carrizo_soda_shrub,open,8,55,35.07095,-119.64995,NA,10,17,5,1.374569197,24.03,38.5133333333333,41.0666666666667
56,Carrizo_soda_shrub,shrub,1,56,35.07092,-119.64978,17991,9,81,6,0.655242722,25.4433333333333,33.76,21.8333333333333
57,Carrizo_soda_shrub,shrub,2,57,35.07091,-119.64986,16035,10,120,6,0.481154014,24.4866666666667,33.4166666666667,22.2
58,Carrizo_soda_shrub,shrub,3,58,35.07091,-119.64998,17422,11,17,2,0.223718076,23.5066666666667,34.8666666666667,24.3
1,Cuyama_1,mimic,1,1,34.84834,-119.48487,18002,11,1,1,0,21.9233333333333,31.2166666666667,25.5666666666667
2,Cuyama_1,mimic,2,2,34.84832,-119.48498,18255,14,2,2,0.693147181,20.96,37.0633333333333,26.3
3,Cuyama_1,mimic,3,3,34.84843,-119.48494,18227,12,26,4,0.692421157,22.26,36.8133333333333,36.2333333333333
4,Cuyama_1,mimic,4,4,34.84846,-119.48508,NA,8,30,6,1.12678366,21.6133333333333,37.1966666666667,33.8666666666667
5,Cuyama_1,mimic,5,5,34.84846,-119.48523,NA,9,15,5,0.949593668,22.39,37.22,21.8333333333333
6,Cuyama_1,open,1,6,34.84836,-119.4848,NA,6,0,0,0,22.6533333333333,37.7733333333333,33.3
7,Cuyama_1,open,2,7,34.84831,-119.48496,17421,13,5,3,0.950270539,22.7,37.0633333333333,36.6
8,Cuyama_1,open,3,8,34.84844,-119.48496,NA,12,5,4,1.33217904,23.0466666666667,37.2,33.2666666666667
9,Cuyama_1,open,4,9,34.84849,-119.48506,NA,10,77,6,0.781074125,22.2866666666667,37.5733333333333,30.1333333333333
10,Cuyama_1,open,5,10,34.84846,-119.48524,NA,10,2,1,0,22.13,37.7566666666667,28.6666666666667
11,Cuyama_1,open,6,11,34.84858,-119.4853,NA,7,0,0,0,21.87,37.5166666666667,31.8
12,Cuyama_1,open,7,12,34.84838,-119.48517,NA,9,1,1,0,21.89,39.3033333333333,34.6333333333333
13,Cuyama_1,open,8,13,34.84834,-119.48523,NA,12,4,3,1.039720771,22.3833333333333,38.3966666666667,22.8333333333333
14,Cuyama_1,shrub,1,14,34.84859,-119.48523,17440,5,1,1,0,21.2166666666667,38.9166666666667,22.7
15,Cuyama_1,shrub,2,15,34.84835,-119.48512,17393,10,1,1,0,22.5266666666667,39.7633333333333,18.2
16,Cuyama_1,shrub,3,16,34.8483,-119.48525,18245,12,1,1,0,22.0366666666667,37.1666666666667,27.3
17,Cuyama_3,mimic,1,17,34.93843,-119.48165,18229,10,6,3,0.867563228,21.5433333333333,37.6466666666667,28.6666666666667
18,Cuyama_3,mimic,2,18,34.93851,-119.48161,16079,22,6,3,1.011404265,20.5466666666667,35.66,35.1
19,Cuyama_3,mimic,3,19,34.93857,-119.48163,17434,30,2,1,0,22.78,34.54,35.6
